"","split","nodesize","mtry","cluster_group","OOB","MSPE","rmspe"
"1",1,2,1,1,5.30895074778386,4.83608869675447,2.19911088778044
"2",1,2,2,6,4.61256427425594,4.31741582955947,2.07783922129684
"3",1,2,4,3,4.63089658584217,4.35598692159913,2.0871001225622
"4",1,2,6,8,4.66310614632639,4.3651127087156,2.08928521478414
"5",1,2,8,5,4.66728632568946,4.44576543463303,2.10849838383458
"6",1,4,1,2,5.26934077227295,4.79170528663983,2.18899641083302
"7",1,4,2,7,4.61401284597498,4.34441623672889,2.08432632683294
"8",1,4,4,4,4.60874256763602,4.34654055469419,2.084835857974
"9",1,4,6,1,4.64081253768751,4.34774691252548,2.08512515512271
"10",1,4,8,6,4.67350180176054,4.4356803492291,2.10610549337613
"11",1,6,1,3,5.2855615887351,4.77245863234892,2.1845957594825
"12",1,6,2,8,4.61125935461464,4.33085508591846,2.08107065855978
"13",1,6,4,5,4.59665989825178,4.31987422521821,2.07843071215237
"14",1,6,6,2,4.62548361005252,4.35683615720183,2.0873035613446
"15",1,6,8,7,4.66867308925142,4.44534484634302,2.10839864502494
"16",1,8,1,4,5.2848671714833,4.83291145278909,2.19838837624044
"17",1,8,2,1,4.62205019814275,4.32661206487521,2.0800509765088
"18",1,8,4,6,4.58751644588715,4.34980899013625,2.08561956984879
"19",1,8,6,3,4.62844594388829,4.34689427891051,2.08492068887776
"20",1,8,8,8,4.65340762622431,4.45865815185751,2.11155349253991
"21",1,10,1,5,5.32779712403078,4.86749670978204,2.20624040162944
"22",1,10,2,2,4.59498443086625,4.30098015140386,2.07388045735618
"23",1,10,4,7,4.57212963311494,4.30785662988364,2.07553767247999
"24",1,10,6,4,4.60764661100082,4.3681422610923,2.09001011028471
"25",1,10,8,1,4.6619203471566,4.42575884052993,2.10374875888969
"26",2,2,1,2,5.24406193203026,5.75556722732908,2.3990763279498
"27",2,2,2,7,4.6264577147243,4.70021275009883,2.16799740546405
"28",2,2,4,4,4.60098541281891,4.55286414073385,2.13374416009367
"29",2,2,6,1,4.64816484405487,4.56273427325581,2.13605577484667
"30",2,2,8,6,4.68496210678163,4.64681526046512,2.15564729500564
"31",2,4,1,3,5.27025447719999,5.76371008543837,2.40077281004229
"32",2,4,2,8,4.6112982936261,4.65665001381632,2.15792724942625
