"","fold","Method","Value","Method.F"
"1",1,"OLS",2.01168909013835,"OLS"
"2",2,"OLS",2.24863019229163,"OLS"
"3",3,"OLS",2.31063918145102,"OLS"
"4",4,"OLS",2.21621152213472,"OLS"
"5",5,"OLS",2.09083688888183,"OLS"
"6",6,"OLS",2.48010641935878,"OLS"
"7",7,"OLS",2.15281970289851,"OLS"
"8",8,"OLS",2.04751494374177,"OLS"
"9",9,"OLS",2.05104999370827,"OLS"
"10",10,"OLS",2.12605546976066,"OLS"
"11",11,"OLS",2.16588951156543,"OLS"
"12",12,"OLS",2.25172951829426,"OLS"
"13",13,"OLS",2.32053897015146,"OLS"
"14",14,"OLS",2.07445504719052,"OLS"
"15",15,"OLS",2.09264365925198,"OLS"
"16",16,"OLS",2.31488307865177,"OLS"
"17",17,"OLS",2.07478442439119,"OLS"
"18",18,"OLS",2.02042861811815,"OLS"
"19",19,"OLS",2.23301756079155,"OLS"
"20",20,"OLS",2.42516942200717,"OLS"
"21",1,"ALLBIC",2.0117492134451,"ALLBIC"
"22",2,"ALLBIC",2.24935614741445,"ALLBIC"
"23",3,"ALLBIC",2.30890057100449,"ALLBIC"
"24",4,"ALLBIC",2.21607466669984,"ALLBIC"
"25",5,"ALLBIC",2.09158266196298,"ALLBIC"
"26",6,"ALLBIC",2.4797480473921,"ALLBIC"
"27",7,"ALLBIC",2.15011751037142,"ALLBIC"
"28",8,"ALLBIC",2.04714260316178,"ALLBIC"
"29",9,"ALLBIC",2.05202225865912,"ALLBIC"
"30",10,"ALLBIC",2.1260554650589,"ALLBIC"
"31",11,"ALLBIC",2.16378905213979,"ALLBIC"
"32",12,"ALLBIC",2.25273971966625,"ALLBIC"
"33",13,"ALLBIC",2.32155649911409,"ALLBIC"
"34",14,"ALLBIC",2.07403964080457,"ALLBIC"
"35",15,"ALLBIC",2.08754524874651,"ALLBIC"
"36",16,"ALLBIC",2.30912248525065,"ALLBIC"
"37",17,"ALLBIC",2.07498745039825,"ALLBIC"
"38",18,"ALLBIC",2.0199546463413,"ALLBIC"
"39",19,"ALLBIC",2.23261549018304,"ALLBIC"
"40",20,"ALLBIC",2.42612966808404,"ALLBIC"
"41",1,"LASSOMIN",2.02105687297553,"LASSOMIN"
"42",2,"LASSOMIN",2.24599308590961,"LASSOMIN"
"43",3,"LASSOMIN",2.31215608980699,"LASSOMIN"
"44",4,"LASSOMIN",2.21260290426143,"LASSOMIN"
"45",5,"LASSOMIN",2.09408005589237,"LASSOMIN"
"46",6,"LASSOMIN",2.46855761601261,"LASSOMIN"
"47",7,"LASSOMIN",2.15471128040289,"LASSOMIN"
"48",8,"LASSOMIN",2.05001926603566,"LASSOMIN"
"49",9,"LASSOMIN",2.04694812735557,"LASSOMIN"
