"","iter","eta","nrounds","max_depth","subsample","rmse","predict"
"1",1,0.01,20,3,0.5,9.874163,9.94172066291543
"2",1,0.01,20,3,0.6,9.8738752,9.94214544368559
"3",1,0.01,20,3,0.75,9.874088,9.94144017875103
"4",1,0.01,20,3,0.9,9.874318,9.94181383655541
"5",1,0.01,20,3,1,9.8741194,9.94246305716389
"6",1,0.01,20,6,0.5,9.8739804,9.94193343928917
"7",1,0.01,20,6,0.6,9.8742546,9.9420071323235
"8",1,0.01,20,6,0.75,9.8738296,9.94148533191396
"9",1,0.01,20,6,0.9,9.8724256,9.94119269934602
"10",1,0.01,20,6,1,9.873557,9.94107922584887
"11",1,0.01,20,12,0.5,9.8743326,9.94064448436478
"12",1,0.01,20,12,0.6,9.8735056,9.94175609326326
"13",1,0.01,20,12,0.75,9.8731218,9.9414112964294
"14",1,0.01,20,12,0.9,9.8734632,9.94244880581353
"15",1,0.01,20,12,1,9.8730368,9.94122940984149
"16",1,0.01,20,20,0.5,9.873775,9.94083513443353
"17",1,0.01,20,20,0.6,9.873636,9.94338676898251
"18",1,0.01,20,20,0.75,9.8733032,9.9403644334496
"19",1,0.01,20,20,0.9,9.8728438,9.94179296631719
"20",1,0.01,20,20,1,9.8728764,9.94122940984149
"21",1,0.01,20,30,0.5,9.8738358,9.94145230007209
"22",1,0.01,20,30,0.6,9.8726688,9.94187082397876
"23",1,0.01,20,30,0.75,9.8726116,9.94133171846165
"24",1,0.01,20,30,0.9,9.8736274,9.94164957712103
"25",1,0.01,20,30,1,9.8736922,9.94122940984149
"26",1,0.01,200,3,0.5,9.8731634,9.94212132145533
"27",1,0.01,200,3,0.6,9.8741208,9.94179814271266
"28",1,0.01,200,3,0.75,9.8740368,9.94203743129918
"29",1,0.01,200,3,0.9,9.8724738,9.94223070056598
"30",1,0.01,200,3,1,9.8728392,9.94246305716389
"31",1,0.01,200,6,0.5,9.874014,9.94244772839278
"32",1,0.01,200,6,0.6,9.8733146,9.94076446146491
"33",1,0.01,200,6,0.75,9.8737026,9.94156047997443
"34",1,0.01,200,6,0.9,9.8731654,9.94148351535257
"35",1,0.01,200,6,1,9.8733502,9.94107922584887
"36",1,0.01,200,12,0.5,9.8739092,9.94154787127001
"37",1,0.01,200,12,0.6,9.874109,9.94058989098753
"38",1,0.01,200,12,0.75,9.8729298,9.94203904654938
"39",1,0.01,200,12,0.9,9.8732156,9.94210376464331
"40",1,0.01,200,12,1,9.8726984,9.94122940984149
"41",1,0.01,200,20,0.5,9.8743124,9.9411797544768
"42",1,0.01,200,20,0.6,9.8739498,9.94213488801742
"43",1,0.01,200,20,0.75,9.873145,9.94096988369235
"44",1,0.01,200,20,0.9,9.8734012,9.9419131625215
"45",1,0.01,200,20,1,9.8731636,9.94122940984149
"46",1,0.01,200,30,0.5,9.8740606,9.9413634068658
"47",1,0.01,200,30,0.6,9.8731726,9.94056277661385
"48",1,0.01,200,30,0.75,9.8724608,9.94061686995351
"49",1,0.01,200,30,0.9,9.872501,9.94143561698191
"50",1,0.01,200,30,1,9.8739434,9.94122940984149
"51",1,0.01,500,3,0.5,9.8740234,9.94242912629144
"52",1,0.01,500,3,0.6,9.87358,9.94150580650344
"53",1,0.01,500,3,0.75,9.873755,9.94247977775812
"54",1,0.01,500,3,0.9,9.8739076,9.94191290489058
"55",1,0.01,500,3,1,9.8731184,9.94246305716389
"56",1,0.01,500,6,0.5,9.8736542,9.9417638216006
"57",1,0.01,500,6,0.6,9.8730786,9.94129761936696
"58",1,0.01,500,6,0.75,9.873984,9.9411748176188
"59",1,0.01,500,6,0.9,9.872719,9.94222193920702
"60",1,0.01,500,6,1,9.87186,9.94107922584887
"61",1,0.01,500,12,0.5,9.8729834,9.94061112954718
"62",1,0.01,500,12,0.6,9.8737662,9.94242041914421
"63",1,0.01,500,12,0.75,9.8742412,9.94144619722366
"64",1,0.01,500,12,0.9,9.874036,9.94102945163028
"65",1,0.01,500,12,1,9.8731102,9.94122940984149
"66",1,0.01,500,20,0.5,9.8735486,9.93957949425086
"67",1,0.01,500,20,0.6,9.8738784,9.94303666562516
"68",1,0.01,500,20,0.75,9.8734534,9.94089468919673
"69",1,0.01,500,20,0.9,9.8733734,9.94193666137496
"70",1,0.01,500,20,1,9.8727426,9.94122940984149
